name,type,description
V2Locations,STRING,"This field is identical to the V1LOCATIONS field with the primary exception of an extra
field appended to the end of each location block after its FeatureID that lists the approximate
character offset of the reference to that location in the text. In addition, if a location appears
multiple times in the article, it will be listed multiple times in this field. The only other
modification from V1LOCATIONS is the addition of a single new field “Location ADM2Code” in
between “Location ADM1Code” and “Location Latitude”. 5
 NOTE: there was an error in this field
from 2/19/2015 through midday 3/1/2015 that caused the CountryCode field to list the wrong
country code in some cases."
Persons,STRING,"This is the list of all person names found in the text,
extracted through the Leetaru (2012) algorithm. 6
 This name recognition algorithm is unique in
that it is specially designed to recognize the African, Asian, and Middle Eastern names that yield
significantly reduced accuracy with most name recognition engines. This field is identical in
format and population as the corresponding field in the GKG 1.0 format."
V2Persons,STRING,"This contains a list of all person names referenced in the document, along with the character offsets
of approximately where in the document they were found. Each person reference is separated
by a semicolon, and within each reference, the person name is specified first, followed by a
comma, and then the approximate character offset of the reference of that person in the
document, allowing it to be associated with other entries from other “V2ENHANCED” fields that
appear in closest proximity to it. If a person is mentioned multiple times in a document, each
mention will appear separately in this field."
Organizations,STRING,"This is the list of all company and organization
names found in the text, extracted through the Leetaru (2012) algorithm.
 This is a combination of corporations, IGOs, NGOs, and any other local organizations such as a local fair
or council. This engine is highly adaptive and is currently tuned to err on the side of inclusion
when it is less confident about a match to ensure maximal recall of smaller organizations around
the world that are of especial interest to many users of the GKG. Conversely, certain smaller
companies with names and contexts that do not provide a sufficient recognition latch may be
missed or occasionally misclassified as a person name depending on context. It is highly
recommended that users of the Persons and Organizations fields histogram the results and
discard names appearing just once or twice to eliminate most of these false positive matches.
This field is identical in format and population as the corresponding field in the GKG 1.0 format."
V2Organizations,STRING,"This contains a list of all organizations/companies referenced in the document, along with the
character offsets of approximately where in the document they were found. Each organization
reference is separated by a semicolon, and within each reference, the name of the organization
is specified first, followed by a comma, and then the approximate character offset of the
reference of that organization in the document, allowing it to be associated with other entries
from other “V2ENHANCED” fields that appear in closest proximity to it. If an organization is
mentioned multiple times in a document, each mention will appear separately in this field."
V2Tone,STRING,"This field contains a comma-delimited
list of six core emotional dimensions, described in more detail below. Each is recorded as a
single precision floating point number. This field is nearly identical in format and population as
the corresponding field in the GKG 1.0 format with the sole exception of adding the single new
WordCount variable at the end.



    *Tone. (floating point number) This is the average “tone” of the document as a whole.
The score ranges from -100 (extremely negative) to +100 (extremely positive). Common
values range between -10 and +10, with 0 indicating neutral. This is calculated as
Positive Score minus Negative Score. Note that both Positive Score and Negative Score
are available separately below as well. A document with a Tone score close to zero may
either have low emotional response or may have a Positive Score and Negative Score
that are roughly equivalent to each other, such that they nullify each other. These
situations can be detected either through looking directly at the Positive Score and
Negative Score variables or through the Polarity variable.

    *Positive Score. (floating point number) This is the percentage of all words in the article
that were found to have a positive emotional connotation. Ranges from 0 to +100.

    *Negative Score. (floating point number) This is the percentage of all words in the
article that were found to have a positive emotional connotation. Ranges from 0 to
+100.

    *Polarity. (floating point number) This is the percentage of words that had matches in
the tonal dictionary as an indicator of how emotionally polarized or charged the text is.
If Polarity is high, but Tone is neutral, this suggests the text was highly emotionally
charged, but had roughly equivalent numbers of positively and negatively charged
emotional words.

    *Activity Reference Density. (floating point number) This is the percentage of words
that were active words offering a very basic proxy of the overall “activeness” of the text
compared with a clinically descriptive text.

    *Self/Group Reference Density. (floating point number) This is the percentage of all
words in the article that are pronouns, capturing a combination of self-references and
group-based discourse. News media material tends to have very low densities of such
language, but this can be used to distinguish certain classes of news media and certain
contexts.

    *Word Count. (integer) This is the total number of words in the document. This field
was added in version 1.5 of the format."
Dates,STRING,"This contains a list of all date references in the document, along with the character offsets of
approximately where in the document they were found. If a date was mentioned multiple times
in a document, it will appear multiple times in this field, once for each mention. Each date
reference is separated by a semicolon, while the fields within a date are separated by commas.
NOTE: this field is identical to GKG 2.0 with the sole exception of the addition of one additional
Date Resolution type (4 = dates that include a month and day, but not a year).



    *Date Resolution. This indicates whether the date was a month-day date that did not
specify a year (4), a fully-resolved day-level date that included the year (3), a monthlevel
date that included the year but not a day (2), or a year-level (1) date that did not
include month or day-level information.

    *Month. This is the month of the date represented as 1-12. For year dates this field will
contain a 0.

    *Day. This is the day of the date represented as 1-31. For month and year dates this field
will contain a 0.

    *Year. This is the year of the date. For Resolution=4 dates that include a month and day,
but not a year, this field will contain a 0.

    *Offset. This is the character offset of the date within the document, indicating
approximately where it was found in the body. This can be used to associate the date
with the entries from other “V2ENHANCED” fields that appeared in closest proximity to
it."
GCAM,STRING,"The Global Content Analysis Measures (GCAM) system runs an array of content analysis systems over each
document and compiles their results into this field. New content analysis systems will be
constantly added to the GCAM pipeline over time, meaning the set of available fields will
constantly grow over time. Given that the GCAM system is debuting with over 2,300 dimensions
and will likely grow to include several thousand more dimensions within the coming months, it
differs in its approach to encoding matches from the GKG’s native thematic coding system.
Instead of displaying the full English name of a content analysis dictionary or dimension, it
assigns each dictionary a unique numeric identifier (DictionaryID) and each dimension within
that dictionary is assigned a unique identifier from 1 to the number of dimensions in the
dictionary (DimensionID). Each dimension of each dictionary is assessed on a document and
ONLY those dimensions that had one or more matches onto the document are reported. If a
dimension did not register any matches on a document, it is not reported in order to save space.
Thus, the absence of a dimension in this field can be interpreted as a score of 0. Each
dimension’s score is written to the V2GCAM field separated by a comma. For each dimension, a
numeric “key” identifies it of the form “DictionaryID.DimensionID”, followed by a colon,
followed by its score. Most dictionaries are count-based, meaning they report how many words
in the document were found in that dictionary. Thus, a score of 18 would mean that 18 words
from the document were found in that dictionary. Count-based dimensions have a key that
begins with “c”. Some dictionaries, such as SentiWordNet and SentiWords actually assign each
word a numeric score and the output of the tool is the average of those scores for that
document. For those dictionaries, an entry will report the number of words in the document
that matched into that dictionary, and a separate entry, beginning with a “v” instead of a “c” will
report its floating-point average value. The very first entry in the field has the special reserved
key of “wc” and reports the total number of words in the document – this can be used to divide
the score of any word-count field to convert to a percentage density score. As an example,
assume a document with 125 words. The General Inquirer dictionary has been assigned the
DictionaryID of 2 and its “Bodypt” dimension has a DimensionID of 21. SentiWordNet has a
DictionaryID of 10 and its “Positive” dimension has a DimensionID of 1. Thus, the V2GCAM field
for a document might look like “wc:125,c2.21:4,c10.1:40,v10.1:3.21111111” indicating that the
document had 125 words, that 4 of those words were found the General Inquirer “Bodypt”
lexicon, that 40 of those words were found in the SentiWordNet lexicon, and that the average
numeric score of all of the words found in the SentiWordNet lexicon was 3.21111111. For a
complete list of the available dimensions, along with their assigned DictionaryID and
DimensionID codes, their assigned key, and their human name and full citation to cite that
dimension, please see the GCAM Master Codebook. 8
 NOTE: the scores for all dimensions, both
English and non-English dimensions, will be listed together in this field – please see the
codebooks to determine the source language of a specific dimension. NOTE: if non-English
dictionaries are available for a given language and generated at least one match for that
document, an additional “nwc” entry will be added which reflects the word count in the native
language, since languages may have differing word counts in their native and translated forms.
This count will be absent if no native dictionaries yielded a match for the document."
SharingImage,STRING,"Many news websites specify a so-called “sharing image” for
each article in which the news outlet manually specifies a particular image to be displayed when
that article is shared via social media or other formats. Not all news outlets specify a sharing
image and some sites simply use their logo, but for those that do use this field, it represents the
outlet’s selection of the single image that best captures the overall focus and contents of the
story. GDELT currently recognizes a variety of formats for specifying this image, including Open
Graph, Twitter Cards, Google+, IMAGE_SRC, and SailThru formats, among others. "
RelatedImages,STRING,"News articles frequently include photographs, figures, and other imagery to illustrate the story, ranging from a single illustrative
photograph at top, to lengthy photo essays interspersed through the entirety of an article. Such
imagery lends a rich visual tapestry to a news report, helping to clarify, for example, whether an
article about a “protest blocking a highway” involves hundreds of activists along its length, or
just a handful of people in one location, or whether a gas explosion leveled a building or merely
shattered its windows. GDELT uses a suite of highly sophisticated algorithms to actually “read”
through each article in the way a human would, evaluating each image on to determine its
relevance, based on positioning, captioning, referencing, and context, and compiles a list of the
URLs of the images it deems to be most relevant to the article. Thus, unrelated inset boxes,
advertisements, and other imagery are ignored and this field contains only a list of images most
illustrative of the core of the story. This feature is in alpha release and involves a number of
highly complex algorithms working together in concert and thus may make mistakes. We will be
improving this algorithm over time and would appreciate any feedback you may have on the
kinds of images it incorrectly includes and those that it misses."
SocialImageEmbeds,STRING,"News websites are increasingly embedding image-based social media posts inline in their articles to illustrate them with
realtime reaction or citizen reporting from the ground. GDELT currently recognizes embedded
image-based Twitter and Instagram posts and records their URLs in this field. Only those posts
containing imagery are included in this field. This acts as a form of social media “curation” in
which news outlets are wading through the deluge of social media reaction or reporting about a
specific situation and hand-selecting key image posts deemed of greatest relevance,
significance, credibly, and/or interest to their audiences. Only image-based embedded posts are
included in this field – videos are identified in the following field."
SocialVideoEmbeds,STRING,"News websites are increasingly
embedding videos inline in their articles to illustrate them with realtime reaction or citizen
reporting from the ground. Some news outlets that also have television properties may crosslink
their television reporting into their web-based presentation. GDELT currently recognizes
YouTube, DailyMotion, Vimeo, and Vine videos embedded in articles and records their URLs in
this field. Similarly to the field above, this allows for a form of social media “curation” of the
videos deemed by the mainstream media to be of greatest relevance, significance, credibly,
and/or interest to their audiences. "
Quotations,STRING,"News coverage frequently features excerpted statements from participants in an event and/or those
affected by it and these quotations can offer critical insights into differing perspectives and
emotions surrounding that event. GDELT identifies and extracts all quoted statements from
each article and additionally attempts to identify the verb introducing the quote to help lend
additional context, separating “John retorted…” from “John agreed…” to show whether the
speaker was agreeing with or rejecting the statement being made. Each quoted statement is
separated by a “#” character, and within each block the following fields appear, separated by
pipe (“|”) symbols:



    *Offset. This is the character offset of the quoted statement within the document,
indicating approximately where it was found in the body. This can be used to associate
the date with the entries from other “V2ENHANCED” fields that appeared in closest
proximity to it.

    *Length. This is the length of the quoted statement in characters.

    *Verb. This is the verb used to introduce the quote, allowing for separation of
agreement versus disagreement quotes. May not be present for all quotes and not all
verbs are recognized for this field.

    *Quote. The actual quotation itself."
AllNames,STRING,"This field contains a list of all proper names referenced in the document, along with the character offsets of
approximately where in the document they were found. Unlike the V2ENHANCEDPERSONS and
V2ENHANCEDORGANIZATIONS fields, which are restricted to person and organization names,
respectively, this field records ALL proper names referenced in the article, ranging from named
events like the Orange Revolution, Umbrella Movement, and Arab Spring, to movements like the
Civil Rights Movement, to festivals and occurrences like the Cannes Film Festival and World Cup,
to named wars like World War I, to named dates like Martin Luther King Day and Holocaust
Remembrance Day, to named legislation like Iran Nuclear Weapon Free Act, Affordable Care Act
and Rouge National Urban Park Initiative. This field goes beyond people and organizations to
capturing a much broader view of the named events, objects, initiatives, laws, and other types
of names in each article. Each name reference is separated by a semicolon, and within each
reference, the name is specified first, followed by a comma, and then the approximate character
offset of the reference of that name in the document, allowing it to be associated with other
entries from other “V2ENHANCED” fields that appear in closest proximity to it. If a name is
mentioned multiple times in a document, each mention will appear separately in this field. This
field is designed to be maximally inclusive and in cases of ambiguity, to err on the side of
inclusion of a name."
Amounts,STRING,"This field contains a list of all precise numeric amounts referenced in the document, along with the character
offsets of approximately where in the document they were found. Its primary role is to allow
for rapid numeric assessment of evolving situations (such as mentions of everything from the
number of affected households to the estimated dollar amount of damage to the number of
relief trucks and troops being sent into the area, to the price of food and medicine in the
affected zone) and general assessment of geographies and topics. Both textual and numeric
formats are supported (“twenty-five trucks”, “two million displaced civilians”, “hundreds of
millions of dollars”, “$1.25 billion was spent”, “75 trucks were dispatched”, “1,345 houses were
affected”, “we spent $25m on it”, etc). At this time, percentages are not supported due to the
large amount of additional document context required for meaningful deciphering (“reduced by
45%” is meaningless without understanding what was reduced and whether the reduction was
good or bad, often requiring looking across the entire enclosing paragraph for context). This
field is designed to be maximally inclusive and in cases of ambiguity, to err on the side of
inclusion of an amount even if the object of the amount is more difficult to decipher.


    *Amount. This is the precise numeric value of the amount. Embedded commas are
removed (“1,345,123” becomes 1345123), but decimal numbers are left as is (thus this
field can range from a floating point number to a “long long” integer). Numbers in
textual or mixed numeric-textual format (“such as “2m” or “two million” or “tens of
millions”) are converted to numeric digit representation.

    *Object. This is the object that the amount is of or refers to. Thus, “20,000 combat
soldiers” will result in “20000” in the Amount field and “combat soldiers” in this field.

    *Offset. This is the character offset of the quoted statement within the document,
indicating approximately where it was found in the body. This can be used to associate
the date with t"
TranslationInfo,STRING,"This field is used to record provenance information for machine translated documents indicating the original source language and the
citation of the translation system used to translate the document for processing. It will be blank
for documents originally in English. At this time the field will also be blank for documents
translated by a human translator and provided to GDELT in English (such as BBC Monitoring
materials) – in future this field may be expanded to include information on human translation
pipelines, but at present it only captures information on machine translated materials. An
example of the contents of this field might be “srclc:fra; eng:Moses 2.1.1 / MosesCore Europarl
fr-en / GT-FRA 1.0”.


    *SRCLC. This is the Source Language Code, representing the three-letter ISO639-2 code of
the language of the original source material.

    *ENG. This is a textual citation string that indicates the engine(s) and model(s) used to
translate the text. The format of this field will vary across engines and over time and no
expectations should be made on the ordering or formatting of this field. In the example
above, the string “Moses 2.1.1 / MosesCore Europarl fr-en / GT-FRA 1.0” indicates that
the document was translated using version 2.1.1 of the Moses 9
SMT platform, using the
“MosesCore Europarl fr-en” translation and language models, with the final translation
enhanced via GDELT Translingual’s own version 1.0 French translation and language
models. A value of “GT-ARA 1.0” indicates that GDELT Translingual’s version 1.0 Arabic
translation and language models were the sole resources used for translation.
Additional language systems used in the translation pipeline such as word segmentation
systems are also captured in this field such that a value of “GT-ZHO 1.0 / Stanford PKU”
indicates that the Stanford Chinese Word Segmenter 10 was used to segment the text
into individual words and sentences, which were then translated by GDELT
Translingual’s own version 1.0 Chinese (Traditional or Simplified) translation and
language models."
Extras,STRING,"This field is reserved to hold special non-standard data applicable to special subsets of the GDELT collection. It is unique among the other GKG fields in
that it is XML-formatted and the specific format of a given block within this field is highly
customized. At the time of this writing it currently is used to hold the citations list for the
academic journal article subcollection 11 and is blank for news content.


    *CITEDREFERENCESLIST. This block holds the results of the parsed cited references list
that appeared at the bottom of the article, as extracted by the ParsCit software.
 The ParsCit system is based on machine learning algorithms which can exhibit a significant
amount of error and/or vary by source material. Within this block, each citation is
enclosed in a <CITATION></CITATION> block. Within that block appear the following
fields. Note: the fields may not appear in precisely this order and not all fields may be
present for all citations, so parsing of this field should be flexible. For more information
on the meaning of each field, please see the documentation for ParsCit.
 This block is only available for the academic journal article subcollection.



    * Authors. This is a nested block with an outer set of tags of <AUTHORS>
</AUTHORS> containing one or more inner blocks of <AUTHOR></AUTHOR>.
Each inner block contains the name of an author of the cited paper. If a paper
has multiple authors, there will be an <AUTHOR></AUTHOR> inner block for
each author. Author names are order-standardized (“Leetaru, Kalev Hannes”
will be normalized to “Kalev Hannes Leetaru”) but are not otherwise normalized
and thus “K Leetaru”, “Kalev Leetaru”, “Kalev H. Leetaru” and “Kalev Hannes
Leetaru” would all appear as distinct author entries. Applications requiring
name disambiguation will need to perform that task themselves.

    * Title. This is the title of the cited work if it is an article.

    * BookTitle. This is the title of the cited work if it is a book.

    * Date. This is the date of the cited work.

    * Journal. The journal the cited work was published in.

    * Volume. The volume of the journal issue the cited work was published in.

    * Issue. The issue of the journal issue the cited work was published in.

    * Pages. This is the page range of the cited work.

    * Institution. This is the institutional affiliation of the cited work.

    * Publisher. The publisher of the cited work.

    * Location. The location of the publisher of the cited work.

    * Marker. This is the textual marker used to identify the work in the text (such as
“Leetaru et al, 2014”). This can be used if you have access to the original article
to locate references to the cited work in the article."
